Region_code,Structure,Subregion,NT_rel,EH_rel,MH_rel,source,note
Fr SM,FrontalLobe,superior and middle,1.0,1.03,1.0,Kochiyama_etal_2018,Ext Data Fig 4 (individual-brain recon); figure-digitized (+/-0.02)
Fr I,FrontalLobe,inferior,1.0,0.99,1.0,Kochiyama_etal_2018,Ext Data Fig 4 (individual-brain recon); figure-digitized (+/-0.02)
Fr O,FrontalLobe,orbitofrontal,1.0,1.03,1.0,Kochiyama_etal_2018,Ext Data Fig 4 (individual-brain recon); figure-digitized (+/-0.02)
Sm,SensorimotorCortex,whole (sensorimotor),0.99,0.97,1.0,Kochiyama_etal_2018,Ext Data Fig 4 (individual-brain recon); figure-digitized (+/-0.02)
Pa SI,ParietalLobe,superior and inferior,0.97,0.97,1.0,Kochiyama_etal_2018,Ext Data Fig 4 (individual-brain recon); figure-digitized (+/-0.02)
Pa TP,ParietalLobe,temporo-parietal junction,1.02,0.98,1.0,Kochiyama_etal_2018,Ext Data Fig 4 (individual-brain recon); figure-digitized (+/-0.02)
Te SM,TemporalLobe,superior and middle,1.05,0.99,1.0,Kochiyama_etal_2018,Ext Data Fig 4 (individual-brain recon); figure-digitized (+/-0.02)
Te I,TemporalLobe,inferior/medial,1.03,1.0,1.0,Kochiyama_etal_2018,Ext Data Fig 4 (individual-brain recon); figure-digitized (+/-0.02)
Oc SM,OccipitalLobe,superior and middle,1.06,1.06,1.0,Kochiyama_etal_2018,Ext Data Fig 4 (individual-brain recon); figure-digitized (+/-0.02)
Oc I,OccipitalLobe,inferior,1.02,1.06,1.0,Kochiyama_etal_2018,Ext Data Fig 4 (individual-brain recon); figure-digitized (+/-0.02)
Ce V,Cerebellum,vermis,0.95,1.0,1.0,Kochiyama_etal_2018,Ext Data Fig 4 (individual-brain recon); figure-digitized (+/-0.02)
Ce A,Cerebellum,anterior,0.97,0.99,1.0,Kochiyama_etal_2018,Ext Data Fig 4 (individual-brain recon); figure-digitized (+/-0.02)
Ce P,Cerebellum,posterior,0.93,0.98,1.0,Kochiyama_etal_2018,Ext Data Fig 4 (individual-brain recon); figure-digitized (+/-0.02)
